ano,cod_conta,nomenclaturas_observadas
2024,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, §1º, da CF)"
2024,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis"
2025,AgentesComunitariosDeSaudeEDeCombateAsEndemiasComRecursosVinculados,"Agentes Comunitários de Saúde e de Combate às Endemias com Recursos Vinculados (CF, art. 198, §11)"
2025,AposentadoriasReservaEReformas,"Aposentadorias, Reserva e Reformas"
2025,DespesaComPessoalAtivoBruta,Pessoal Ativo
2025,DespesaComPessoalAtivoBrutaEnteConsorciado,Pessoal Ativo
2025,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2025,DespesaComPessoalBrutaEnteConsorciado,DESPESA BRUTA COM PESSOAL (I)
2025,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)
2025,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBrutaEnteConsorciado,Outras despesas de pessoal decorrentes de contratos de terceirização ou de contratação de forma indireta (§ 1º art. 18 da LRF)
2025,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2025,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2025,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2025,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2025,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2025,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
