ano,ranking_ano,UF,nome_estado,DTP_RCL,Limite_Alerta,Limite_Prudencial,Limite_Maximo,situacao_fiscal
2023,8.0,AM,Amazonas,40.17,44.1,46.55,49.0,confortável
2023,9.0,AP,Amapá,41.72,44.1,46.55,49.0,confortável
2023,10.0,PA,Pará,42.24,43.74,46.17,48.6,confortável
2023,11.0,SP,São Paulo,42.33,44.1,46.55,49.0,confortável
2023,12.0,SC,Santa Catarina,42.59,44.1,46.55,49.0,confortável
2023,13.0,AL,Alagoas,43.01,44.1,46.55,49.0,atenção
2023,14.0,GO,Goiás,43.23,43.74,46.17,48.6,atenção
2023,14.0,PR,Paraná,43.23,44.1,46.55,49.0,atenção
2023,16.0,SE,Sergipe,43.76,44.1,46.55,49.0,atenção
2023,17.0,PE,Pernambuco,44.56,44.1,46.55,49.0,alerta
2023,18.0,MS,Mato Grosso do Sul,44.64,44.1,46.55,49.0,alerta
2023,19.0,CE,Ceará,44.73,44.1,46.55,49.0,alerta
2023,20.0,TO,Tocantins,44.87,44.1,46.55,49.0,alerta
2023,21.0,RS,Rio Grande do Sul,45.03,44.1,46.55,49.0,alerta
2023,22.0,RJ,Rio de Janeiro,47.47,44.1,46.55,49.0,acima do limite prudencial
2023,23.0,PB,Paraíba,47.88,44.1,46.55,49.0,acima do limite prudencial
2023,24.0,AC,Acre,48.41,44.1,46.55,49.0,acima do limite prudencial
2023,25.0,RR,Roraima,49.28,44.1,46.55,49.0,acima do limite máximo
2023,26.0,MG,Minas Gerais,51.37,44.1,46.55,49.0,acima do limite máximo
2023,27.0,RN,Rio Grande do Norte,56.94,44.1,46.55,49.0,acima do limite máximo
2024,1.0,MA,Maranhão,31.04,44.1,46.55,49.0,confortável
2024,2.0,ES,Espírito Santo,36.05,44.1,46.55,49.0,confortável
2024,3.0,AL,Alagoas,36.08,44.1,46.55,49.0,confortável
2024,4.0,RO,Rondônia,37.41,44.1,46.55,49.0,confortável
2024,5.0,MT,Mato Grosso,37.78,44.1,46.55,49.0,confortável
2024,6.0,AM,Amazonas,38.77,44.1,46.55,49.0,confortável
2024,7.0,DF,Distrito Federal,39.57,44.1,46.55,49.0,confortável
2024,8.0,SC,Santa Catarina,39.66,44.1,46.55,49.0,confortável
2024,9.0,SE,Sergipe,40.37,44.1,46.55,49.0,confortável
2024,10.0,PA,Pará,40.55,43.74,46.17,48.6,confortável
2024,10.0,PE,Pernambuco,40.55,44.1,46.55,49.0,confortável
2024,12.0,BA,Bahia,41.65,43.74,46.17,48.6,confortável
2024,13.0,PI,Piauí,41.66,44.1,46.55,49.0,confortável
2024,14.0,GO,Goiás,41.7,43.74,46.17,48.6,confortável
